inproc_round: conflicts=186367 props_in_round=5992 window=118336 budget_w=118336 viv=5916/true sub_ck=1851480 tr=11833 orig=507928->507928 learned=45838->45838 yield=1200 db=553766 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=600 tred=0 tfailed=0 viv_short=151 viv_sub=40 pass_props els=0 bva=0 pure_sub=0 vivify=5917 tred=75 bva_n=0 \
inproc_round: conflicts=192901 props_in_round=7611 window=150626 budget_w=150626 viv=7531/true sub_ck=2002106 tr=15062 orig=507928->507928 learned=41565->41565 yield=696 db=549493 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=348 tred=0 tfailed=0 viv_short=175 viv_sub=35 pass_props els=0 bva=0 pure_sub=0 vivify=7536 tred=75 bva_n=0 \
inproc_round: conflicts=199475 props_in_round=6470 window=127889 budget_w=127889 viv=6394/true sub_ck=2129995 tr=12788 orig=507928->507928 learned=48139->48139 yield=712 db=556067 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=356 tred=0 tfailed=0 viv_short=155 viv_sub=31 pass_props els=0 bva=0 pure_sub=0 vivify=6395 tred=75 bva_n=0 \
inproc_round: conflicts=206088 props_in_round=8324 window=164853 budget_w=164853 viv=8242/true sub_ck=2294848 tr=16485 orig=507928->507928 learned=43714->43714 yield=1138 db=551642 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=569 tred=0 tfailed=0 viv_short=347 viv_sub=114 pass_props els=0 bva=0 pure_sub=0 vivify=8249 tred=75 bva_n=0 \
inproc_round: conflicts=212740 props_in_round=6396 window=126306 budget_w=126306 viv=6315/true sub_ck=2421154 tr=12630 orig=507928->507928 learned=50366->50366 yield=716 db=558294 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=358 tred=0 tfailed=0 viv_short=162 viv_sub=35 pass_props els=0 bva=0 pure_sub=0 vivify=6321 tred=75 bva_n=0 \
inproc_round: conflicts=219429 props_in_round=9275 window=183884 budget_w=183884 viv=9194/true sub_ck=2605038 tr=18388 orig=507928->507928 learned=46519->46519 yield=826 db=554447 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=413 tred=0 tfailed=0 viv_short=218 viv_sub=62 pass_props els=0 bva=0 pure_sub=0 vivify=9200 tred=75 bva_n=0 \
inproc_round: conflicts=226154 props_in_round=10320 window=204590 budget_w=204590 viv=10229/true sub_ck=2809628 tr=20459 orig=507928->507928 learned=53244->53244 yield=808 db=561172 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=404 tred=0 tfailed=0 viv_short=227 viv_sub=40 pass_props els=0 bva=0 pure_sub=0 vivify=10245 tred=75 bva_n=0 \
inproc_round: conflicts=232915 props_in_round=7093 window=140218 budget_w=140218 viv=7010/true sub_ck=2949846 tr=14021 orig=507928->507928 learned=48770->48770 yield=984 db=556698 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=492 tred=0 tfailed=0 viv_short=192 viv_sub=84 pass_props els=0 bva=0 pure_sub=0 vivify=7018 tred=75 bva_n=0 \
inproc_round: conflicts=239711 props_in_round=12060 window=239615 budget_w=239615 viv=11980/true sub_ck=3189461 tr=23961 orig=507928->507928 learned=55566->55566 yield=890 db=563494 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=445 tred=0 tfailed=0 viv_short=139 viv_sub=27 pass_props els=0 bva=0 pure_sub=0 vivify=11985 tred=75 bva_n=0 \
inproc_round: conflicts=246542 props_in_round=7972 window=157860 budget_w=157860 viv=7893/true sub_ck=3347321 tr=15786 orig=507928->507928 learned=50917->50917 yield=1610 db=558845 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=805 tred=0 tfailed=0 viv_short=279 viv_sub=98 pass_props els=0 bva=0 pure_sub=0 vivify=7897 tred=75 bva_n=0 \
inproc_round: conflicts=253407 props_in_round=9262 window=183568 budget_w=183568 viv=9178/true sub_ck=3530889 tr=18356 orig=507928->507928 learned=46947->46947 yield=948 db=554875 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=474 tred=0 tfailed=0 viv_short=110 viv_sub=19 pass_props els=0 bva=0 pure_sub=0 vivify=9187 tred=75 bva_n=0 \
inproc_round: conflicts=260305 props_in_round=12452 window=247502 budget_w=247502 viv=12375/true sub_ck=3778391 tr=24750 orig=507928->507928 learned=53845->53845 yield=1356 db=561773 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=678 tred=0 tfailed=0 viv_short=514 viv_sub=214 pass_props els=0 bva=0 pure_sub=0 vivify=12377 tred=75 bva_n=0 \
inproc_round: conflicts=267235 props_in_round=8011 window=158530 budget_w=158530 viv=7926/true sub_ck=3936921 tr=15853 orig=507928->507928 learned=49363->49363 yield=1924 db=557291 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=962 tred=0 tfailed=0 viv_short=192 viv_sub=85 pass_props els=0 bva=0 pure_sub=0 vivify=7936 tred=75 bva_n=0 \
inproc_round: conflicts=274197 props_in_round=10806 window=214121 budget_w=214121 viv=10706/true sub_ck=4151042 tr=21412 orig=507928->507928 learned=56325->56325 yield=1478 db=564253 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=739 tred=0 tfailed=0 viv_short=342 viv_sub=142 pass_props els=0 bva=0 pure_sub=0 vivify=10731 tred=75 bva_n=0 \
inproc_round: conflicts=281190 props_in_round=11871 window=235685 budget_w=235685 viv=11784/true sub_ck=4386727 tr=23568 orig=507928->507928 learned=51851->51851 yield=1302 db=559779 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=651 tred=0 tfailed=0 viv_short=163 viv_sub=39 pass_props els=0 bva=0 pure_sub=0 vivify=11796 tred=75 bva_n=0 \
inproc_round: conflicts=288214 props_in_round=7342 window=145083 budget_w=145083 viv=7254/true sub_ck=4531810 tr=14508 orig=507928->507928 learned=47613->47613 yield=1422 db=555541 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=711 tred=0 tfailed=0 viv_short=151 viv_sub=62 pass_props els=0 bva=0 pure_sub=0 vivify=7267 tred=75 bva_n=0 \
inproc_round: conflicts=295268 props_in_round=14178 window=282047 budget_w=282047 viv=14102/true sub_ck=4813857 tr=28204 orig=507928->507928 learned=54667->54667 yield=1362 db=562595 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=681 tred=0 tfailed=0 viv_short=274 viv_sub=130 pass_props els=0 bva=0 pure_sub=0 vivify=14103 tred=75 bva_n=0 \
inproc_round: conflicts=302352 props_in_round=10344 window=205352 budget_w=205352 viv=10267/true sub_ck=5019209 tr=20535 orig=507928->507928 learned=50111->50111 yield=1092 db=558039 lbd_ema=0.00/0.00 els=0 units=0 shr=0 sub=546 tred=0 tfailed=0 viv_short=259 viv_sub=177 pass_props els=0 bva=0 pure_sub=0 vivify=10269 tred=75 bva_n=0 \
