mode,instance,seed,baseline,candidate,z3
certified,present-8x16,10,268833974,141674414,51745145
certified,present-8x16,11,262035207,139907777,54434768
certified,present-8x16,12,254431719,145067668,53133846
certified,present-8x16,13,253903100,137274661,51295518
certified,present-8x16,14,238953100,139916924,56215091
certified,present-8x16,15,254561291,144753580,62448897
certified,present-8x16,16,268514883,144579846,53382780
certified,present-8x16,17,272304525,135427707,52028707
certified,present-8x16,18,269379348,137995437,52514592
certified,present-8x16,19,272804383,136844342,51288659
certified,absent-8x16,10,122279789,67026870,52868455
certified,absent-8x16,11,116509259,64375488,52091930
certified,absent-8x16,12,104808847,63394270,53495973
certified,absent-8x16,13,112989158,62610766,51862637
certified,absent-8x16,14,96155603,61205887,55291283
certified,absent-8x16,15,110946476,63597167,61918016
certified,absent-8x16,16,131996232,72568575,52400317
certified,absent-8x16,17,110064643,62944184,53114085
certified,absent-8x16,18,105730084,61754749,51819306
certified,absent-8x16,19,113245765,62877750,51431712
certified,shared-8x16,10,140427513,75734666,52773259
certified,shared-8x16,11,134095957,73210418,52148327
certified,shared-8x16,12,121805309,73373695,55758032
certified,shared-8x16,13,128836476,70575343,53978088
certified,shared-8x16,14,110720236,69152770,56809506
certified,shared-8x16,15,128780653,74423098,58154191
certified,shared-8x16,16,147812911,81019163,53756324
certified,shared-8x16,17,126367805,69257121,53217784
certified,shared-8x16,18,123194583,69671429,54084349
certified,shared-8x16,19,131367800,70797945,54010211
certified,blocked-8x16,10,254791131,78060977,164165438
certified,blocked-8x16,11,249148584,75600690,127239966
certified,blocked-8x16,12,237541825,74733834,192386188
certified,blocked-8x16,13,245699549,73986876,166887391
certified,blocked-8x16,14,229077532,72487161,173049185
certified,blocked-8x16,15,243688507,74956981,194195048
certified,blocked-8x16,16,264859293,84068079,149497837
certified,blocked-8x16,17,242670847,73983978,153356873
certified,blocked-8x16,18,238147956,72736921,200746647
certified,blocked-8x16,19,245734373,74010729,169219037
certified,wide-8x16,10,133531067,83481175,71183632
certified,wide-8x16,11,145638942,88917672,69545176
certified,wide-8x16,12,119444300,84076640,68217985
certified,wide-8x16,13,132447467,82961373,65228987
certified,wide-8x16,14,108143597,80976126,67773542
certified,wide-8x16,15,135960060,87478595,67829556
certified,wide-8x16,16,148761635,90546380,70323455
certified,wide-8x16,17,124670478,83288451,69211220
certified,wide-8x16,18,121308563,82293143,66060083
certified,wide-8x16,19,132458532,82973453,68495019
certified,sparse-8x16,10,2246465150,1004475091,107499315
certified,sparse-8x16,11,2352247246,1015968295,108299111
certified,sparse-8x16,12,2080958736,925357540,108685982
certified,sparse-8x16,13,2335055439,1024675330,102545266
certified,sparse-8x16,14,2114627484,1018296657,108764301
certified,sparse-8x16,15,2141338764,976300155,114043668
certified,sparse-8x16,16,2206341176,975797994,107117054
certified,sparse-8x16,17,2316022550,1011043952,104197632
certified,sparse-8x16,18,2149316585,1007457174,106746116
certified,sparse-8x16,19,2419186087,1113678368,104247760
