mode,instance,seed,baseline,candidate,z3
certified,blocked-8x16,12,73344433,65284722,192386188
certified,blocked-8x16,13,72572152,63630794,166887391
certified,blocked-8x16,14,71179954,63792880,173049185
certified,blocked-8x16,15,73536939,64811642,194195048
certified,blocked-8x16,16,82801416,71531041,149497837
certified,blocked-8x16,17,72630931,63972975,153356873
certified,blocked-8x16,18,71373823,63173453,200746647
certified,blocked-8x16,19,72588095,63633718,169219037
certified,wide-8x16,10,81906978,64996377,71183632
certified,wide-8x16,11,87357006,68918299,69545176
certified,wide-8x16,12,82239953,66978360,68217985
certified,wide-8x16,13,81318950,64475523,65228987
certified,wide-8x16,14,78965181,65277818,67773542
certified,wide-8x16,15,85316496,68658090,67829556
certified,wide-8x16,16,88867841,70304991,70323455
certified,wide-8x16,17,81226214,65604826,69211220
certified,wide-8x16,18,80307946,64834071,66060083
certified,wide-8x16,19,81327748,64486898,68495019
certified,sparse-8x16,10,1002826946,737862628,107499315
certified,sparse-8x16,11,1011740185,736107966,108299111
certified,sparse-8x16,12,923151272,673171699,108685982
certified,sparse-8x16,13,1022211074,747806734,102545266
certified,sparse-8x16,14,1013972424,764837262,108764301
certified,sparse-8x16,15,972220312,720352897,114043668
certified,sparse-8x16,16,972761706,711524050,107117054
certified,sparse-8x16,17,1003700409,730364211,104197632
certified,sparse-8x16,18,1006237536,753102405,106746116
certified,sparse-8x16,19,1110135987,838878268,104247760
